employer_name;reviews_count;culture_count;salaries_count;benefits_count;employer_website;employer_headquarters;employer_founded;employer_industry;employer_revenue;url;geral;cultura_e_valores;diversidade_e_inclusão;qualidade_de_vida;alta_liderança;remuneração_e_benefícios;oportunidades_de_carreira;recomendam_para_outras_pessoas;perspectiva_positiva_da_empresa;segmento;nome;match_percent;nome_normalizado;cnpj;Nome_Bancos;ano;trimestre;categoria;tipo;instituição_financeira;índice;quantidade_de_reclamações_reguladas_procedentes;quantidade_de_reclamações_reguladas___outras;quantidade_de_reclamações_não_reguladas;quantidade_total_de_reclamações;quantidade_total_de_clientes__ccs_e_scr;quantidade_de_clientes__ccs;quantidade_de_clientes__scr
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BTG PACTUAL/BANCO PAN (conglomerado);68,20;1290;1054;507;2851;18913034;13149801;9776731
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;C6 BANK (conglomerado);77,99;1265;1300;480;3045;16218908;14546414;5723394
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COBUCCIO (conglomerado); ;8;8;24;40; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COLOMBO (conglomerado); ;0;5;1;6;374111;52;374077
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;CRED-SYSTEM (conglomerado); ;22;32;12;66; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GENIAL (conglomerado); ;11;2;1;14;452120;452117;53
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GERENCIANET (conglomerado); ;6;12;2;20;296726;296684;6621
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GM (conglomerado); ;3;3;15;21;245739;483;245340
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GRUPO ZEMA (conglomerado); ;4;4;4;12;471569;3879;468856
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;HERVAL - HS (conglomerado); ;1;3;3;7;203133;921;202497
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MASTER (conglomerado);601,71;88;87;10;185;146248;7754;138778
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MERCADO CRÉDITO (conglomerado);24,96;800;1213;189;2202;32050707;32007869;3346123
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NEON (conglomerado);441,13;385;114;29;528;872741;0;872741
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NUBANK (conglomerado);7,48;410;859;272;1541;54748336;52847381;26162099
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;PAGBANK-PAGSEGURO (conglomerado);14,87;345;784;139;1268;23191620;23183549;331895
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;PARANÁ BANCO (conglomerado); ;21;164;9;194;505065;10432;494974
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;RECARGAPAY (conglomerado); ;25;26;23;74; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;STONE (conglomerado);54,99;116;139;10;265;2109401;2109302;102
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;VOITER (conglomerado); ;1;3;0;4;164166;4884;159535
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;AGIBANK (conglomerado);96,00;182;262;95;539;1895683;1540134;1176067
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BANCO SICOOB (conglomerado);17,47;102;93;30;225;5835765;2633199;3887697
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BB (conglomerado);12,64;930;2217;1162;4309;73557524;66988564;35361914
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BBC (conglomerado); ;3;4;2;9;5872; ;5872
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNQI - FINANCEIRO (conglomerado); ;29;37;7;73; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BTG PACTUAL/BANCO PAN (conglomerado);76,14;1559;1003;513;3075;20473165;15651421;8783911
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;C6 BANK (conglomerado);50,18;1070;1741;519;3330;21320772;19080023;6995013
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COBUCCIO (conglomerado); ;10;15;22;47; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;COLOMBO (conglomerado); ;1;5;3;9;322307;60;322265
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;CREDSYSTEM (conglomerado); ;18;52;25;95; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GENIAL (conglomerado); ;9;10;1;20;657765;657761;406
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GERENCIANET (conglomerado); ;13;37;9;59;334816;334644;15120
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GM (conglomerado); ;4;13;13;30;227309;474;226918
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;GRUPO ZEMA (conglomerado); ;1;14;11;26;505005;18246;490852
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;HERVAL - HS (conglomerado); ;5;7;3;15;211524;801;210925
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MASTER (conglomerado);373,13;98;94;15;207;262641;11741;252344
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;MERCADO CRÉDITO (conglomerado);22,21;875;1292;196;2363;39392090;39364711;3858225
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NACIONAL (conglomerado); ;0;0;1;1;61; ;61
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NEON (conglomerado);15,59;239;178;49;466;15325349;15324873;1243553
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;NUBANK (conglomerado);9,76;633;1423;322;2378;64841518;63116978;32844721
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Top 15 - Bancos, Financeiras e Instituições de Pagamento;Conglomerado;PAGBANK-PAGSEGURO (conglomerado);19,73;512;868;103;1483;25948408;25948045;317352
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;PARANÁ BANCO (conglomerado); ;13;134;10;157;534173;11149;523415
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;RECARGAPAY (conglomerado);7,64;59;66;15;140;7714549;7712803;24547
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;SIMPALA (conglomerado); ;1;0;0;1;4670;27;4644
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;STONE (conglomerado);55,91;145;533;18;696;2593141;2593044;99
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;SUMUP (conglomerado); ;0;2;0;2; ; ; 
;;;;;;;;;;;;;;;;;;;;;;;;;;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;VOITER (conglomerado); ;0;4;3;7;201484;9550;192269
